lon,lat,year,detections,mean_volume,mean_temp,mean_dtc_freq,mean_clr_obs,detections_total,first_year,last_year
42.262807,36.917216,2012,1,0.00288813,1876.77,17.8363,342,3,2012,2016
42.262807,36.917216,2013,1,0.001777242,1876.77,10.3015,398,3,2012,2016
42.262807,36.917216,2016,1,0.0035405,1876.77,15.0259,386,3,2012,2016
42.597602,36.721903,2012,1,0.028375839,1647.72,93.5103,339,3,2012,2014
42.597602,36.721903,2013,1,0.022258527,1647.72,78.2178,404,3,2012,2014
42.597602,36.721903,2014,1,0.003026265,1647.72,13.1387,411,3,2012,2014
42.669299,36.458896,2012,1,0.032151515,1592.75,77.6119,335,3,2012,2014
42.669299,36.458896,2013,1,0.021543517,1592.75,52.4934,381,3,2012,2014
42.669299,36.458896,2014,1,0.003928048,1592.75,10.1781,393,3,2012,2014
42.792279,37.13359,2012,1,0.001573679,1792.28,9.63855,332,3,2012,2016
42.792279,37.13359,2015,1,0.011092176,1792.28,39.895,381,3,2012,2016
42.792279,37.13359,2016,1,0.016778204,1792.28,53.8462,377,3,2012,2016
43.058779,36.805942,2014,1,0.002183212,1823.28,4.87179,390,2,2014,2015
43.058779,36.805942,2015,1,0.002699378,1823.28,4.07609,368,2,2014,2015
43.275134,35.800158,2012,1,0.009462732,1429.03,52.6946,334,5,2012,2016
43.275134,35.800158,2013,1,0.026859198,1429.03,70.0252,397,5,2012,2016
43.275134,35.800158,2014,1,0.004677635,1429.03,11.2821,390,5,2012,2016
43.275134,35.800158,2015,1,0.013163089,1429.03,51.269,394,5,2012,2016
43.275134,35.800158,2016,1,0.041890253,1429.03,56.2842,366,5,2012,2016
43.276449,36.731948,2013,1,0.001333248,1738.15,8.3558,371,2,2013,2016
43.276449,36.731948,2016,1,0.007737392,1738.15,20.6434,373,2,2013,2016
43.324713,36.775917,2012,1,0.012016208,1770.04,28.8462,312,5,2012,2016
43.324713,36.775917,2013,1,0.018460924,1770.04,27.2,375,5,2012,2016
43.324713,36.775917,2014,1,0.118080368,1770.04,96.5879,381,5,2012,2016
43.324713,36.775917,2015,1,0.140318201,1770.04,87.6676,373,5,2012,2016
43.324713,36.775917,2016,1,0.143367097,1770.04,88.2514,366,5,2012,2016
43.390712,36.906852,2014,1,0.004586582,1954.19,20.5333,375,3,2014,2016
43.390712,36.906852,2015,1,0.012520786,1954.19,56.9106,369,3,2014,2016
43.390712,36.906852,2016,1,0.002514531,1954.19,10.4396,364,3,2014,2016
43.430099,36.892372,2012,1,0.009015745,1791.67,12.6582,316,3,2012,2016
43.430099,36.892372,2015,1,0.008542193,1791.67,7.98898,363,3,2012,2016
43.430099,36.892372,2016,1,0.060464832,1791.67,69.3989,366,3,2012,2016
43.432295,34.911243,2012,1,0.036768155,1629.14,86.6013,306,3,2012,2014
43.432295,34.911243,2013,1,0.020828948,1629.14,68.2292,384,3,2012,2014
43.432295,34.911243,2014,1,0.005956634,1629.14,19.2802,389,3,2012,2014
43.492053,35.001888,2012,1,0.127845524,1584.84,99.0385,312,4,2012,2015
43.492053,35.001888,2013,1,0.104050514,1584.84,99.7382,382,4,2012,2015
43.492053,35.001888,2014,1,0.063383988,1584.84,68.0628,382,4,2012,2015
43.492053,35.001888,2015,1,0.018937499,1584.84,36.0743,377,4,2012,2015
43.49934,36.747038,2014,1,0.050957102,1750.02,55.409,379,3,2014,2016
43.49934,36.747038,2015,1,0.118075671,1750.02,89.3733,367,3,2014,2016
43.49934,36.747038,2016,1,0.080528781,1750.02,91.0326,368,3,2014,2016
43.501162,35.020812,2012,1,0.048756214,1630.14,80.4487,312,4,2012,2015
43.501162,35.020812,2013,1,0.050146959,1630.14,89.2031,389,4,2012,2015
43.501162,35.020812,2014,1,0.028343286,1630.14,38.1201,383,4,2012,2015
43.501162,35.020812,2015,1,0.018262409,1630.14,33.3333,369,4,2012,2015
43.594704,36.470548,2012,1,0.005695157,1663.49,8.02469,324,3,2012,2014
43.594704,36.470548,2013,1,0.023083816,1663.49,48.3204,387,3,2012,2014
