lon,lat,detections_total,first_year,last_year,mean_volume,mean_temp,mean_dtc_freq,mean_clr_obs
45.66365,32.488785,5,2012,2016,0.4965418058,1714.05,99.59566,349.6
47.361021,30.278613,5,2012,2016,0.3842828422,1606.4,98.96124,371.6
47.331895,30.882338,5,2012,2016,0.456779058,1642.65,98.30636,329.4
47.413783,30.166491,5,2012,2016,0.2744141524,1609.79,98.60788,360.8
47.436103,31.675865,5,2012,2016,0.5134426764,1669.47,99.10492,340
47.327,30.763569,5,2012,2016,0.4074084858,1626.83,98.5,338
47.393822,30.212464,5,2012,2016,0.4157418026,1612.14,98.7433,365.8
47.32953,30.687289,5,2012,2016,0.3775206742,1639.62,97.59682,344.8
47.329625,30.82631,5,2012,2016,0.4082520912,1699.86,99.1383,313.2
47.3381,30.357658,5,2012,2016,0.3663630118,1637.14,98.92314,374
47.326745,30.610053,5,2012,2016,0.4395729164,1654.72,98.60748,377.4
47.312949,30.496803,5,2012,2016,0.3721848858,1729.95,98.6884,375
44.339975,35.530549,5,2012,2016,0.1717409394,1693.67,99.3159,370
44.155541,35.487234,5,2012,2016,0.1963991032,1707.91,87.47056,359.6
43.876447,35.685305,5,2012,2016,0.2736571384,1696.69,84.34202,378.2
47.598533,30.530429,5,2012,2016,0.2298823638,1706.86,98.88738,357
43.769292,35.980914,5,2012,2016,0.3564522062,1713.3,99.41268,389.4
43.808546,34.895316,4,2012,2015,0.15699364,1632.67,68.994035,377.25
47.31436,30.568219,5,2012,2016,0.3140182178,1642.36,98.33802,372.4
47.664686,30.752101,5,2012,2016,0.2900744474,1706.57,99.53612,346
47.716502,30.267117,5,2012,2016,0.183610412,1671.07,98.39344,358
46.837681,30.352359,5,2012,2016,0.2007215086,1724.62,85.09496,378.8
47.60812,30.419384,5,2012,2016,0.2458779288,1722.92,99.74122,356
44.00867,35.629093,5,2012,2016,0.2321589822,1738.04,90.27134,374.2
47.329193,30.561355,5,2012,2016,0.1743795978,1519.67,99.21438,372.2
47.103008,30.564248,5,2012,2016,0.2197787678,1673.02,85.003,376
44.825691,35.137798,5,2012,2016,0.1198342684,1777.13,80.08414,378
47.607343,30.487245,5,2012,2016,0.2350010574,1684.59,99.12824,357.4
45.444878,34.04139,5,2012,2016,0.1139381898,1782.26,95.96678,373.2
47.638937,30.367387,5,2012,2016,0.1796012032,1664.88,99.37132,354
47.668298,30.455334,5,2012,2016,0.1122349526,1681.54,95.16816,358
44.344495,33.488527,5,2012,2016,0.1837012302,1724.2,99.32754,333.8
47.443667,30.425163,5,2012,2016,0.1356434418,1711.92,80.78552,368.6
47.334762,30.40192,5,2012,2016,0.1408351658,1640.64,97.73782,370.6
47.406286,32.120627,5,2012,2016,0.1644721384,1714.22,98.88086,341.2
47.446236,32.060303,5,2012,2016,0.1104558086,1678.11,96.80512,343.2
43.492053,35.001888,4,2012,2015,0.07855438125,1584.84,75.72845,363.25
43.965827,35.662282,5,2012,2016,0.1088172066,1742.71,94.68964,372.6
44.217423,35.385199,5,2012,2016,0.0829223426,1629.24,98.99192,361
44.268455,35.556386,5,2012,2016,0.077582327,1697.27,90.98662,368.4
44.036682,35.726881,5,2012,2016,0.1310925526,1644.65,98.29294,368.4
47.348702,30.31444,5,2012,2016,0.1111731372,1642.07,97.95064,367.6
47.405409,32.368823,5,2012,2016,0.0809083744,1643.87,99.07624,356
44.37475,35.511452,5,2012,2016,0.0488776644,1723.13,90.68474,370.4
44.19168,35.416288,5,2012,2016,0.04290211,1600.85,91.46554,363.4
44.568493,35.124166,5,2012,2016,0.0748505608,1687.31,98.72314,373
44.429826,35.247283,5,2012,2016,0.0550825484,1721.18,97.58074,375.4
44.219925,35.418277,4,2012,2015,0.06356428825,1711.58,96.042075,353.25
47.426968,32.095181,5,2012,2016,0.082446765,1652.06,96.93106,330.4
45.96384,31.357764,5,2012,2016,0.1667921412,1733.93,84.9288,354.6
47.75431,30.118668,5,2012,2016,0.0497769934,1715.1,86.76392,376.6
