feature,importance_mean,importance_std
lon,0.6077920784618478,0.0237112354183529
lat,0.5243336520331799,0.016105852811405086
ntl,0.21948389941674193,0.009528350009438698
ntl_roll6,0.21506725197297555,0.015427847496817729
ntl_anom,0.07310049835090997,0.005880467160996956
swir_red_ratio,0.06857721932807277,0.004662216909222931
ntl_roll3,0.05575796435602041,0.009823810445223478
NO2_roll3,0.04064511535314959,0.009505666933853213
ntl_persist6,0.01756648005125554,0.0017209647936764262
ndbi_anom,0.013207036810970263,0.0024680423537609543
ndvi_anom,0.013072724472935681,0.009402701723674092
oil_signature_score,0.011475150117716581,0.0016476495676550917
lst_night_c,0.010041187432201615,0.0037394395905734016
swir_nir_ratio,0.008535793372832367,0.003804947805830543
swir_nir_persist6,0.008179722164572101,0.0016424390014667192
heat_light_interaction,0.007635210653791247,0.001106347154373182
ntl_change,0.006624035200698297,0.002045598288281348
swir_nir_roll3,0.0058211686142339404,0.002688418958720946
heat_built_interaction,0.004844239096183744,0.001746460716426663
ndbi,0.003552460281101233,0.003041116491662981
NO2,0.002780162260022645,0.0019242587934917385
O3_roll3,0.0025569322460349485,0.0009555087684241418
lst_lag1,0.002104181025269658,0.0003402616020907823
lst_roll6,0.0018297471797274589,0.0006707635944892865
B8_med,0.0015701935977827208,0.0011762018245842474
CO_roll3,0.001566527815210672,0.0006247080239167112
lst_change,0.001528214000660677,0.0014409823177801298
b11_persist6,0.0014282410376565303,0.002015254135915539
ndbi_lag1,0.001416706136630741,0.0008394637581617824
SO2_roll3,0.0013401232397485252,0.0013069443452597117
b11_roll3,0.0012574271853372566,0.0011607630551536384
b11_anom,0.0009339161123366857,0.0008281130756807904
B11_med,0.0008944641716913226,0.0003500071272648243
ndvi_lag1,0.0007269600355050088,0.0001524102507416264
lst_persist6,0.0006386279318407739,0.0009428147304444031
built_light_interaction,0.0006079980527280649,0.00028563726582003665
NO2_anom,0.0005753209356333499,0.0003668754329372707
swir_nir_change,0.00032322288837829396,0.00021144204005790182
B4_med,0.0003038486985470712,0.0007692867777880836
lst_anom,0.0002930644608840627,0.00016910195914565177
lst_roll3,0.00024419226039249506,0.00024947643730146023
SO2,0.00023687987260512244,0.000121766812741316
ndvi_change,0.0002275399324259908,0.0005383549913495096
NO2_change,0.00020860997559084548,0.0007513939488738416
O3_change,0.00015162886918613784,0.0004495676789246404
CO_change,0.0001269642366082513,0.00015343677992767684
SO2_anom,0.00012131443017471266,9.038813505690678e-05
PM2_5,9.0469162888418e-05,0.0003991194056364403
CO_anom,5.229565335351793e-06,0.0004389524445974962
swir_nir_lag1,1.7854683851403763e-06,6.766219269332388e-05
swir_nir_persist6_miss,0.0,0.0
CO_miss,0.0,0.0
NO2_miss,0.0,0.0
O3_miss,0.0,0.0
PM2_5_miss,0.0,0.0
SO2_miss,0.0,0.0
CO_roll3_miss,0.0,0.0
NO2_roll3_miss,0.0,0.0
swir_nir_roll3_miss,0.0,0.0
ntl_change_miss,0.0,0.0
ntl_clean,0.0,0.0
s2_count,0.0,0.0
month_sin,0.0,0.0
SO2_log,0.0,0.0
NO2_log,0.0,0.0
CO_log,0.0,0.0
ndbi_miss,0.0,0.0
B4_med_miss,0.0,0.0
ndvi_miss,0.0,0.0
B11_med_miss,0.0,0.0
ntl_miss,0.0,0.0
O3_log,0.0,0.0
PM25_log,0.0,0.0
B8_med_miss,0.0,0.0
b11_roll3_miss,0.0,0.0
lst_roll6_miss,0.0,0.0
lst_roll3_miss,0.0,0.0
ntl_roll6_miss,0.0,0.0
ntl_roll3_miss,0.0,0.0
cf_cvg_miss,0.0,0.0
s2_count_miss,0.0,0.0
lst_night_c_miss,0.0,0.0
O3_roll3_miss,0.0,0.0
PM25_roll3_miss,0.0,0.0
SO2_roll3_miss,0.0,0.0
CO_change_miss,0.0,0.0
NO2_change_miss,0.0,0.0
O3_change_miss,0.0,0.0
PM25_change_miss,0.0,0.0
SO2_change_miss,0.0,0.0
ndvi_change_miss,0.0,0.0
ntl_persist6_miss,0.0,0.0
lst_change_miss,0.0,0.0
b11_change_miss,0.0,0.0
lst_persist6_miss,0.0,0.0
b11_persist6_miss,0.0,0.0
month_cos,-4.4408920985006264e-17,5.438959822042074e-17
ndbi_change,-1.3971221961517345e-05,7.545979031216025e-05
nir_red_ratio,-2.082917162602449e-05,4.475667474752908e-05
PM25_anom,-7.237778121731431e-05,3.574361451986113e-05
O3_anom,-8.620065190185766e-05,5.9311748812986405e-05
PM25_change,-0.00015260987076211042,5.023010161601268e-05
SO2_change,-0.00015642700791405063,0.00014400596253360214
b11_change,-0.00024082785562744568,0.0002127670693066348
O3,-0.00027159727345618114,0.00014482767228941716
b11_lag1,-0.000372739225297658,0.00025791353217730214
ndvi,-0.0004022795439941884,0.0003043022694645854
builtup_index,-0.0006068166865487612,0.0007543350854206812
swir_nir_anom,-0.0007721402748444462,0.0019805820530021537
CO,-0.0011370925380877138,0.0008157442707520079
PM25_roll3,-0.004684477432742473,0.002689406982744187
ntl_lag1,-0.005491043185052669,0.0017541224777759437
ntl_log,-0.005857315540043739,0.001414910377065917
cf_cvg,-0.0061709902315512325,0.0011243010476831275
